"Question","Reponse_Correcte","Choix_2","Choix_3","Choix_4","Categorie","Difficulte"
"Quelle est la planète la plus proche du Soleil ?","Mercure","Vénus","Mars","Terre","Sciences","debutant"
"Quelle est la formule chimique de l'eau ?","H2O","CO2","NaCl","O2","Sciences","debutant"
"Combien y a-t-il d'os dans le corps humain adulte ?","206","212","180","250","Sciences","potentiel"
"Quelle est la vitesse de la lumière ?","300 000 km/s","150 000 km/s","1 000 000 km/s","100 000 km/s","Sciences","potentiel"
"Quel est l'élément chimique de symbole Au ?","Or","Argent","Cuivre","Aluminium","Sciences","potentiel"
"Quel est l'élément le plus abondant dans l'univers ?","Hydrogène","Oxygène","Hélium","Carbone","Sciences","potentiel"
"Qui a découvert la radioactivité ?","Marie Curie","Albert Einstein","Isaac Newton","Niels Bohr","Sciences","potentiel"
"Quelle planète est la plus grande du système solaire ?","Jupiter","Saturne","Neptune","Uranus","Sciences","debutant"
"Quel organe produit l'insuline ?","Le pancréas","Le foie","Les reins","L'estomac","Sciences","potentiel"
"Combien de chromosomes a l'être humain ?","46","48","44","42","Sciences","legende"
"Quelle est la structure portant l'information génétique ?","L'ADN","L'ARN","Les protéines","Les lipides","Sciences","legende"
"Quelle est la capitale de la France ?","Paris","Lyon","Marseille","Bordeaux","Géographie","debutant"
"Quel est le plus grand pays du monde ?","La Russie","Le Canada","La Chine","Les États-Unis","Géographie","debutant"
"Quel est le plus grand océan ?","L'Océan Pacifique","L'Atlantique","L'Indien","L'Arctique","Géographie","debutant"
"Quel fleuve traverse Paris ?","La Seine","La Loire","Le Rhône","La Garonne","Géographie","debutant"
"Quelle est la plus haute montagne du monde ?","Le Mont Everest","Le K2","Le Mont Blanc","L'Aconcagua","Géographie","debutant"
"Quel est le plus petit pays du monde ?","Le Vatican","Monaco","Saint-Marin","Liechtenstein","Géographie","potentiel"
"Quelle est la capitale du Brésil ?","Brasilia","Rio de Janeiro","São Paulo","Salvador","Géographie","potentiel"
"Quel est le plus long fleuve du monde ?","Le Nil","L'Amazone","Le Yangtsé","Le Mississippi","Géographie","potentiel"
"Quel pays a le plus grand nombre d'habitants ?","Inde","Chine","États-Unis","Indonésie","Géographie","potentiel"
"Quel est le désert le plus chaud du monde ?","Le Sahara","Le désert de Gobi","L'Atacama","Le Kalahari","Géographie","potentiel"
"Quelle mer baigne la côte sud de la France ?","La Méditerranée","L'Atlantique","La Manche","La mer du Nord","Géographie","debutant"
"Quelle est la capitale de l'Australie ?","Canberra","Sydney","Melbourne","Brisbane","Géographie","potentiel"
"Quel est le plus long fleuve d'Europe ?","La Volga","Le Danube","Le Rhin","La Tamise","Géographie","legende"
"Quel détroit sépare l'Afrique de l'Europe ?","Le détroit de Gibraltar","Le canal de Suez","Le Bosphore","Le détroit de Sicile","Géographie","legende"
"Qui a écrit Les Misérables ?","Victor Hugo","Émile Zola","Gustave Flaubert","Honoré de Balzac","Littérature","debutant"
"Quel personnage de Dumas devient mousquetaire ?","D'Artagnan","Porthos","Athos","Aramis","Littérature","debutant"
"Qui a écrit Don Quichotte ?","Miguel de Cervantes","Lope de Vega","Francisco de Quevedo","Tirso de Molina","Littérature","potentiel"
"Qui a écrit Hamlet ?","William Shakespeare","Christopher Marlowe","Ben Jonson","John Milton","Littérature","debutant"
"Quel auteur haïtien a écrit Gouverneurs de la rosée ?","Jacques Roumain","Jean Price-Mars","Dany Laferrière","Frankétienne","Littérature","potentiel"
"Quel prix littéraire est le plus prestigieux en France ?","Prix Goncourt","Prix Renaudot","Prix Médicis","Prix Fémina","Littérature","potentiel"
"Qui a écrit L'Étranger ?","Albert Camus","Jean-Paul Sartre","Simone de Beauvoir","André Gide","Littérature","potentiel"
"Quel auteur haïtien a remporté le Prix Médicis en 2009 ?","Marie Vieux-Chauvet","Dany Laferrière","Yanick Lahens","Kettly Mars","Littérature","legende"
"Qui est l'auteur de L'Alchimiste ?","Paulo Coelho","Gabriel García Márquez","Jorge Luis Borges","Mario Vargas Llosa","Littérature","potentiel"
"Qui est l'auteur du livre Harry Potter ?","J.K. Rowling","Roald Dahl","Philip Pullman","Terry Pratchett","Littérature","debutant"
"Qui a composé la Neuvième Symphonie ?","Ludwig van Beethoven","Wolfgang Amadeus Mozart","Johann Sebastian Bach","Franz Schubert","Arts & Culture","potentiel"
"Quel peintre a peint la Joconde ?","Léonard de Vinci","Michel-Ange","Raphaël","Titien","Arts & Culture","debutant"
"Quel artiste espagnol est l'auteur de Guernica ?","Pablo Picasso","Salvador Dalí","Joan Miró","Francisco Goya","Arts & Culture","potentiel"
"Quel style architectural caractérise Notre-Dame de Paris ?","Le gothique","Le roman","Le baroque","Le classique","Arts & Culture","potentiel"
"Qui a sculp la statue David ?","Michel-Ange","Donatello","Bernin","Rodin","Arts & Culture","potentiel"
"Quel mouvement artistique Monet représente-t-il ?","L'impressionnisme","Le cubisme","Le surréalisme","Le réalisme","Arts & Culture","potentiel"
"Quel compositeur était sourd et continua de composer ?","Beethoven","Mozart","Bach","Haydn","Arts & Culture","potentiel"
"Quel pays a inventé le football ?","L'Angleterre","Le Brésil","L'Allemagne","La France","Sports","debutant"
"Quelle équipe a remporté la Coupe du Monde 2018 ?","La France","La Croatie","La Belgique","L'Allemagne","Sports","potentiel"
"Qui est le recordman de buts en Coupe du Monde ?","Miroslav Klose","Ronaldo","Pelé","Gerd Müller","Sports","legende"
"Quel pays a le plus de titres en Coupe du Monde ?","Le Brésil","L'Allemagne","L'Italie","L'Argentine","Sports","potentiel"
"Quel sportif haïtien a brillé aux Jeux Olympiques ?","Lia Thomas est américaine - Naomi Osaka est japonaise: Pas de médaillé haïtien JO récent","Josaphat Robert Large","Jean Julmisse","Henri Christophe","Sports","legende"
"Quelle ville a accueilli les JO de 2024 ?","Paris","Los Angeles","Tokyo","Brisbane","Sports","potentiel"
