"Question","Reponse","Niveau","Explication"
"Combien font 12 + 8 ?","20","debutant","Addition simple : 12 + 8 = 20"
"Combien font 15 - 7 ?","8","debutant","Soustraction : 15 - 7 = 8"
"Combien font 6 × 4 ?","24","debutant","Multiplication : 6 × 4 = 24"
"Combien font 20 ÷ 4 ?","5","debutant","Division : 20 ÷ 4 = 5"
"Combien font 9 × 9 ?","81","debutant","Table de multiplication : 9 × 9 = 81"
"Combien font 7 + 13 ?","20","debutant","Addition : 7 + 13 = 20"
"Combien font 50 - 18 ?","32","debutant","Soustraction : 50 - 18 = 32"
"Combien font 8 × 7 ?","56","debutant","Multiplication : 8 × 7 = 56"
"Combien font 48 ÷ 6 ?","8","debutant","Division : 48 ÷ 6 = 8"
"Combien font 3 × 3 × 3 ?","27","debutant","3 puissance 3 = 27"
"Quel est le carré de 5 ?","25","debutant","5² = 5 × 5 = 25"
"Quel est le carré de 7 ?","49","debutant","7² = 7 × 7 = 49"
"Quel est le double de 36 ?","72","debutant","2 × 36 = 72"
"Quel est le triple de 15 ?","45","debutant","3 × 15 = 45"
"Combien font 100 - 37 ?","63","debutant","Soustraction : 100 - 37 = 63"
"Combien font 25 + 75 ?","100","debutant","Addition : 25 + 75 = 100"
"Combien font 144 ÷ 12 ?","12","debutant","Division : 144 ÷ 12 = 12"
"Quelle est la moitié de 98 ?","49","debutant","98 ÷ 2 = 49"
"Combien font 11 × 11 ?","121","debutant","11² = 121"
"Quel est le carré de 12 ?","144","debutant","12² = 12 × 12 = 144"
"Si x + 5 = 12 alors x = ?","7","potentiel","x = 12 - 5 = 7"
"Si 2x = 18 alors x = ?","9","potentiel","x = 18 ÷ 2 = 9"
"Si x - 8 = 15 alors x = ?","23","potentiel","x = 15 + 8 = 23"
"Si 3x + 1 = 10 alors x = ?","3","potentiel","3x = 9 donc x = 3"
"Si x/4 = 5 alors x = ?","20","potentiel","x = 5 × 4 = 20"
"Quel est le PGCD de 12 et 18 ?","6","potentiel","Les diviseurs communs : 1,2,3,6 → PGCD = 6"
"Quel est le PPCM de 4 et 6 ?","12","potentiel","PPCM(4,6) = 12"
"Combien font 2⁵ ?","32","potentiel","2⁵ = 2×2×2×2×2 = 32"
"Combien font 3⁴ ?","81","potentiel","3⁴ = 3×3×3×3 = 81"
"Si 5x - 3 = 22 alors x = ?","5","potentiel","5x = 25 donc x = 5"
"Quel est le périmètre d'un carré de côté 7 ?","28","potentiel","P = 4 × 7 = 28"
"Quelle est l'aire d'un rectangle 6×9 ?","54","potentiel","A = 6 × 9 = 54"
"Quel est le % de 25% de 200 ?","50","potentiel","25% × 200 = 50"
"Combien font -3 + (-5) ?","-8","potentiel","Addition de négatifs : -3 + (-5) = -8"
"Combien font (-4) × (-6) ?","24","potentiel","Négatif × Négatif = Positif : 24"
"Si 2x + 3y = 16 et x = 2 alors y = ?","4","potentiel","2(2)+3y=16 → 3y=12 → y=4"
"Quel est le cube de 4 ?","64","potentiel","4³ = 4×4×4 = 64"
"Combien font √144 ?","12","potentiel","Racine carrée de 144 = 12"
"Combien font √225 ?","15","potentiel","Racine carrée de 225 = 15"
"Combien font 2³ × 2² ?","32","potentiel","2^(3+2) = 2^5 = 32"
"Résoudre : x² - 9 = 0. x = ?","3 ou -3","legende","x² = 9 → x = ±√9 = ±3"
"Résoudre : x² - 5x + 6 = 0. Solutions ?","2 et 3","legende","Factorisation : (x-2)(x-3) = 0"
"Résoudre : 2x² + 3x - 2 = 0. Solutions ?","0.5 et -2","legende","Discriminant : Δ = 9+16 = 25"
"Quel est le discriminant de x²-4x+4 ?","0","legende","Δ = (-4)² - 4(1)(4) = 16-16 = 0"
"Développer (x+3)² = ?","x²+6x+9","legende","(x+3)² = x² + 2(3)x + 9"
"Factoriser x²-16 = ?","x+4 fois x-4","legende","Différence de carrés : (x+4)(x-4)"
"Résoudre |x - 3| = 5. x = ?","8 ou -2","legende","x-3=5 → x=8 ou x-3=-5 → x=-2"
"Combien font log₁₀(1000) ?","3","legende","log₁₀(10³) = 3"
"Quel est le domaine de f(x)=1/x ?","x différent de 0","legende","Division par zéro interdite"
"Résoudre : 2^x = 64. x = ?","6","legende","2^6 = 64 donc x = 6"
"Si f(x) = 3x² - 2x + 1 alors f(2) = ?","9","legende","3(4) - 2(2) + 1 = 12 - 4 + 1 = 9"
"Quel est le sommet de y = x²-4x+3 ?","x=2 y=-1","legende","x = -b/2a = 4/2 = 2; y = 4-8+3 = -1"
"Résoudre : log(x) + log(2) = log(10). x = ?","5","legende","log(2x) = log(10) → 2x = 10 → x = 5"
"Dériver f(x) = 3x² + 2x - 5 = ?","6x + 2","legende","f'(x) = 6x + 2"
"Dériver f(x) = x³ - 4x = ?","3x² - 4","legende","f'(x) = 3x² - 4"
"Résoudre le système : x+y=10 et x-y=4 = ?","x=7 y=3","legende","Addition donne 2x=14 → x=7 → y=3"
"Quel est lim(x→0) de sin(x)/x ?","1","superstar","Limite fondamentale en analyse"
"Dériver f(x) = e^(2x) = ?","2e^2x","superstar","Règle de la chaîne : f'(x) = 2e^(2x)"
"Intégrer ∫x²dx = ?","x³/3 + C","superstar","∫x^n = x^(n+1)/(n+1) + C"
"Développer (a+b)³ = ?","a³+3a²b+3ab²+b³","superstar","Formule du binôme de Newton degré 3"
"Calculer sin²(x) + cos²(x) = ?","1","superstar","Identité trigonométrique fondamentale"
"Dériver f(x) = ln(x²) = ?","2/x","superstar","f'(x) = 2x/x² = 2/x"
"Résoudre : e^x = e^(2x-1). x = ?","1","superstar","x = 2x-1 → -x = -1 → x = 1"
