"Mot_Expression","Definition_ES"
"Abarcar","Incluir o comprender varias cosas a la vez."
"Abierto","Que no está cerrado ni oculto."
"Abrupto","Algo repentino e inesperado que sorprende."
"Acaudalado","Que posee mucho dinero y riqueza."
"Acérrimo","Muy firme e inflexible en sus opiniones."
"Acogedor","Que da sensación de calor y comodidad."
"Acontecer","Suceder o pasar algo en un momento."
"Acreditar","Probar la verdad o calidad de algo."
"Acucioso","Que actúa con mucha diligencia y cuidado."
"Adagio","Refrán o proverbio de sabiduría popular."
"Adular","Elogiar exageradamente con fines interesados."
"Afable","Amable y cortés en el trato cotidiano."
"Afán","Deseo intenso por lograr algo importante."
"Aferrar","Asirse con fuerza a algo o a alguien."
"Afligir","Causar tristeza o sufrimiento profundo."
"Agasajar","Tratar con mucha amabilidad y cortesía."
"Ágil","Que se mueve con rapidez y facilidad."
"Agobiar","Causar gran preocupación o peso excesivo."
"Agotar","Consumir completamente los recursos disponibles."
"Agudeza","Perspicacia intelectual o fineza de sentidos."
"Ahínco","Gran esfuerzo y empeño en una tarea."
"Ahorrar","Guardar dinero para usarlo en el futuro."
"Airoso","Que sale bien de una situación difícil."
"Aislado","Separado o apartado del resto del entorno."
"Ajetreo","Actividad intensa con mucho movimiento."
"Alevoso","Que actúa con traición y premeditación."
"Alborotar","Causar desorden o ruido de forma excesiva."
"Alegar","Exponer razones en defensa de algo."
"Alentador","Que da fuerza y esperanza para continuar."
"Altanero","Que actúa con orgullo y arrogancia."
"Altruismo","Preocupación desinteresada por el bienestar ajeno."
"Ambiguo","Que puede interpretarse de varias maneras."
"Ameno","Agradable e interesante para quienes escuchan."
"Amplio","Que tiene gran extensión o capacidad."
"Análisis","Examen detallado de algo para entenderlo."
"Anhelar","Desear con mucha intensidad algo."
"Animoso","Con energía y disposición para actuar."
"Apacentar","Guiar o alimentar con cuidado y paciencia."
"Apacible","Tranquilo y sin agitación ni perturbación."
"Aplomo","Serenidad y seguridad en el comportamiento."
"Apremiar","Exigir con urgencia que algo se haga."
"Armonioso","Que tiene equilibrio y concordancia entre partes."
"Arrebato","Impulso súbito e incontrolable de emoción."
"Arrogante","Que se cree superior a los demás."
"Articulado","Que se expresa con claridad y precisión."
"Aseverar","Afirmar con certeza y convicción algo."
"Asiduo","Que frecuenta o practica algo con regularidad."
"Astuto","Hábil para lograr sus objetivos con ingenio."
"Atrevido","Que se atreve a hacer cosas arriesgadas."
"Austero","Que vive con sobriedad y sin lujos excesivos."
"Avezado","Que tiene mucha experiencia en algo."
"Azorarse","Turbarse o asustarse ante algo inesperado."
"Bachillerato","Nivel de estudios secundarios previo a la universidad."
"Benévolo","Que tiene buena voluntad hacia los demás."
"Bienestar","Estado de comodidad, salud y felicidad."
"Bochorno","Vergüenza o calor sofocante que incomoda."
"Bondad","Calidad de ser bueno y generoso."
"Brío","Energía y entusiasmo para realizar algo."
"Cabal","Que es completo, exacto y honesto."
"Capcioso","Que tiende a engañar con argumentos sutiles."
"Cauteloso","Que actúa con precaución y prudencia."
"Ceder","Dar algo propio a otro o ceder posición."
"Certero","Que da en el blanco con precisión."
"Charla","Conversación informal y amena entre personas."
"Circunspecto","Que actúa con mucha prudencia y reserva."
"Clarividencia","Capacidad de percibir cosas ocultas o futuras."
"Cohibir","Impedir o reprimir a alguien su libertad."
"Coloquio","Conversación o debate entre varias personas."
"Compungido","Que siente dolor o arrepentimiento profundo."
"Concienzudo","Que actúa con mucho cuidado y responsabilidad."
"Condescender","Ceder ante alguien por condescendencia."
"Confiar","Tener plena fe en alguien o algo."
"Confundir","Mezclar o desorientar a alguien con ideas."
"Consecuente","Que actúa de acuerdo con sus principios."
"Consuelo","Alivio de la pena o el sufrimiento ajeno."
