"Question","Reponse_Correcte","Choix_2","Choix_3","Choix_4","Categorie","Difficulte"
"En quelle année la Révolution française a-t-elle commencé ?","1789","1776","1804","1815","Histoire de France","debutant"
"Qui était le premier emperor des Français ?","Napoléon Bonaparte","Louis XIV","Charlemagne","Robespierre","Histoire de France","debutant"
"Quel roi a été guillotiné pendant la Révolution ?","Louis XVI","Louis XV","Louis XIV","Charles X","Histoire de France","debutant"
"Où se trouve le château de Versailles ?","En France","En Espagne","En Italie","En Autriche","Histoire de France","debutant"
"Quel monument est le symbole de Paris ?","La Tour Eiffel","Le Louvre","Notre-Dame","L'Arc de Triomphe","Histoire de France","debutant"
"En quelle année la France a-t-elle libéré Paris de l'occupation nazie ?","1944","1940","1945","1943","Histoire de France","debutant"
"Quelle est la devise de la République française ?","Liberté Égalité Fraternité","Dieu et Patrie","Honneur et Patrie","Foi Espoir Charité","Histoire de France","debutant"
"Qui a fondé la Cinquième République française ?","Charles de Gaulle","Georges Pompidou","François Mitterrand","Valéry Giscard d'Estaing","Histoire de France","debutant"
"En quelle année Jeanne d'Arc est-elle née ?","1412","1400","1420","1390","Histoire de France","potentiel"
"Quelle bataille Napoléon a-t-il perdue en 1815 ?","Waterloo","Austerlitz","Borodino","Marengo","Histoire de France","potentiel"
"Quel traité mit fin à la Première Guerre mondiale ?","Traité de Versailles","Traité de Paris","Traité de Berlin","Traité de Rome","Histoire de France","potentiel"
"En quelle année Charles de Gaulle lança-t-il l'appel du 18 juin ?","1940","1939","1941","1942","Histoire de France","potentiel"
"Qui a peint le tableau La Joconde ?","Léonard de Vinci","Michel-Ange","Raphael","Botticelli","Histoire de France","potentiel"
"Quel roi de France était surnommé le Roi Soleil ?","Louis XIV","Louis XIII","Louis XV","Henri IV","Histoire de France","potentiel"
"En quelle année la Tour Eiffel a-t-elle été construite ?","1889","1900","1875","1905","Histoire de France","potentiel"
"Qui était Vercingétorix ?","Chef gaulois qui résista aux Romains","Roi des Francs","General romain","Évêque de Paris","Histoire de France","legende"
"En quelle année Clovis fut-il sacré roi des Francs ?","481","476","500","450","Histoire de France","legende"
"Quel est le nom du premier roi capétien ?","Hugues Capet","Clovis","Pépin le Bref","Charlemagne","Histoire de France","legende"
"Qui a fondé Paris à l'époque romaine ?","Les Parisii puis les Romains","Les Gaulois seuls","Les Vikings","Les Normands","Histoire de France","legende"
"Quel cardinal a gouverné la France sous Louis XIII ?","Richelieu","Mazarin","Fleury","Retz","Histoire de France","legende"
"En quelle année Haïti a-t-elle obtenu son indépendance ?","1804","1800","1798","1810","Histoire d'Haïti","debutant"
"Qui est considéré comme le père de l'indépendance haïtienne ?","Jean-Jacques Dessalines","Toussaint Louverture","Henri Christophe","Alexandre Pétion","Histoire d'Haïti","debutant"
"Quelle est la capitale d'Haïti ?","Port-au-Prince","Cap-Haïtien","Les Cayes","Jacmel","Histoire d'Haïti","debutant"
"Quel pays colonisa Haïti avant son indépendance ?","La France","L'Espagne","L'Angleterre","Le Portugal","Histoire d'Haïti","debutant"
"Comment s'appelait Haïti avant l'indépendance ?","Saint-Domingue","Hispaniola","Cuba","Tortuga","Histoire d'Haïti","debutant"
"Qui était Toussaint Louverture ?","Général et leader de la révolution haïtienne","Premier président d'Haïti","Fondateur de Port-au-Prince","Amiral de la flotte haïtienne","Histoire d'Haïti","debutant"
"En quelle année a eu lieu le terrible séisme à Haïti ?","2010","2005","2015","2012","Histoire d'Haïti","debutant"
"Quel est le drapeau d'Haïti ?","Bleu et rouge avec écusson","Vert blanc rouge","Noir rouge","Rouge blanc","Histoire d'Haïti","debutant"
