"Terme","Definition"
"KYC","Vérification stricte de l'identité des clients."
"AML","Ensemble des lois contre le blanchiment d'argent."
"Blanchiment d'argent","Dissimulation de l'origine de fonds illicites."
"Due Diligence","Examen approfondi des risques d'un partenaire."
"PEP","Personne politiquement exposée présentant un risque élevé."
"TRACFIN","Cellule française de renseignement financier nationale."
"GAFI","Organisme international fixant les normes anti-blanchiment."
"Bénéficiaire effectif","Personne physique contrôlant réellement une entité."
"Déclaration de soupçon","Signalement obligatoire d'opération financière suspecte."
"Fraude au président","Usurpation d'identité pour détourner des virements."
"Shadow Banking","Activités de crédit hors du cadre bancaire réglementé."
"Paradis fiscal","Territoire à fiscalité très basse et peu transparente."
"Évasion fiscale","Contournement illégal de l'impôt dû à l'État."
"Fraude fiscale","Dissimulation délibérée de revenus aux autorités fiscales."
"Conformité","Respect rigoureux des règles légales et réglementaires."
"Risque opérationnel","Risque de perte lié aux processus internes défaillants."
"Gel des avoirs","Blocage légal et immédiat des comptes d'un suspect."
"Sanctions financières","Restrictions imposées à des entités ou des pays."
"Financement du terrorisme","Transferts de fonds destinés à financer des attaques."
"Crypto-actif","Actif numérique utilisant la cryptographie pour sécuriser."
"LCB-FT","Lutte contre le blanchiment et le financement du terrorisme."
"CDD","Vigilance standard exercée sur un client à risque modéré."
"EDD","Vigilance renforcée pour les clients à très haut risque."
"KYB","Vérification de l'identité et des activités d'une entreprise."
"UBO","Bénéficiaire ultime détenant plus de 25% d'une entité."
"Monitoring","Surveillance continue et automatisée des transactions suspectes."
"SAR","Rapport signalant une activité financière suspecte aux autorités."
"OFAC","Bureau américain contrôlant les sanctions financières internationales."
"Screening","Filtrage automatique des clients contre des listes noires."
"Risk Scoring","Attribution d'un score de risque à chaque profil client."
"Audit interne","Contrôle indépendant des processus et des risques internes."
"Compliance Officer","Responsable du respect des obligations réglementaires internes."
"Rapport FATF","Évaluation périodique de la conformité anti-blanchiment d'un pays."
"Smurfing","Fractionnement de transactions pour éviter les seuils de détection."
"Placement","Première étape d'introduction des fonds illicites dans le système."
"Empilement","Série de transactions complexes pour brouiller les pistes financières."
"Intégration","Réintroduction des fonds blanchis dans l'économie légale formelle."
"Correspondent Banking","Relations bancaires entre établissements pour effectuer des paiements."
"Hawala","Système informel de transfert de fonds sans mouvement physique."
"Shell Company","Société fictive utilisée pour dissimuler l'origine de fonds."
"Compte Nostro","Compte qu'une banque détient dans une banque étrangère."
"Compte Vostro","Compte détenu par une banque étrangère dans notre établissement."
"Chambre de compensation","Organisme centralisant et compensant les opérations entre banques."
"Blanchiment en trois phases","Placement, empilement et intégration de fonds illicites."
"Délit d'initié","Utilisation d'informations privilégiées pour des transactions boursières."
"Manipulation de marché","Pratiques visant à fausser artificiellement les cours boursiers."
"AMF","Autorité française des marchés financiers et des investissements."
"BNS","Banque nationale suisse supervisant la politique monétaire nationale."
"BCE","Banque centrale européenne gérant la politique monétaire européenne."
"Fintech","Entreprise technologique innovant dans les services financiers numériques."
"Regtech","Technologie facilitant la conformité réglementaire dans les finances."
"eKYC","Processus numérique et automatisé de vérification d'identité client."
"Biométrie","Utilisation des caractéristiques physiques pour vérifier une identité."
"OCR","Reconnaissance optique de caractères pour lire des documents officiels."
"MiCA","Règlement européen encadrant les marchés de crypto-actifs."
"AMLD5","Cinquième directive européenne anti-blanchiment de capitaux en vigueur."
"AMLD6","Sixième directive élargissant les infractions liées au blanchiment."
"DORA","Règlement européen sur la résilience opérationnelle numérique des banques."
"RGPD","Règlement européen protégeant les données personnelles des citoyens."
"NFC","Technologie sans contact utilisée dans les paiements mobiles sécurisés."
"Tokenisation","Remplacement de données sensibles par un identifiant numérique sécurisé."
"DeFi","Finance décentralisée opérant sans intermédiaire bancaire traditionnel."
"Stablecoin","Crypto-monnaie dont la valeur est indexée sur un actif stable."
"CBDC","Monnaie numérique émise directement par une banque centrale officielle."
"NFT","Actif numérique unique certifié par une blockchain inviolable."
"Blockchain","Registre distribué et immuable enregistrant toutes les transactions."
"Smart Contract","Contrat s'exécutant automatiquement selon des conditions préprogrammées."
"Wallet numérique","Portefeuille électronique pour stocker et transférer des crypto-actifs."
"Exchange","Plateforme d'échange de crypto-monnaies entre utilisateurs enregistrés."
"Ransomware","Logiciel malveillant chiffrant des données contre une rançon financière."
"Phishing","Tentative de vol d'informations bancaires via des faux sites."
"Vishing","Fraude téléphonique visant à obtenir des données financières personnelles."
"IBAN","Numéro international identifiant un compte bancaire dans le monde."
"SWIFT","Réseau mondial de messagerie pour les transferts bancaires sécurisés."
"Code BIC","Identifiant unique d'une banque dans les transactions internationales."
"Garantie bancaire","Engagement d'une banque à payer si le client défaille."
"Lettre de crédit","Document bancaire garantissant un paiement international conditionnel."
"Affacturage","Cession de créances commerciales à un organisme financier spécialisé."
"Titrisation","Transformation de créances en titres financiers négociables sur marché."
"Produit dérivé","Instrument financier dont la valeur dépend d'un actif sous-jacent."
"Swap","Contrat d'échange de flux financiers entre deux contreparties."
"Option financière","Droit d'acheter ou vendre un actif à un prix fixé."
"Futures","Contrat à terme standardisé négocié sur un marché organisé."
"Levier financier","Utilisation de l'endettement pour amplifier les rendements d'investissement."
"Fonds propres","Ressources financières appartenant directement aux actionnaires d'une entreprise."
"Ratio de liquidité","Indicateur mesurant la capacité d'une banque à faire face."
"Capital réglementaire","Fonds minimaux exigés des banques par les régulateurs prudentiels."
"Bâle III","Réforme internationale renforçant la solidité des banques mondiales."
"Stress test","Simulation de scénarios adverses pour évaluer la résistance bancaire."
"Rating","Note évaluant la solvabilité financière d'un émetteur de dette."
"Agence de notation","Organisme évaluant la qualité de crédit d'entités financières."
"Default","Incapacité d'un emprunteur à rembourser sa dette à échéance."
"Restructuration de dette","Renégociation des termes d'une dette en difficulté de paiement."
"Faillite","Procédure légale pour une entreprise incapable de rembourser ses dettes."
"Liquidation judiciaire","Vente forcée des actifs d'une entreprise insolvable par justice."
"Redressement judiciaire","Procédure légale pour sauver une entreprise en difficulté temporaire."
"Hedge Fund","Fonds spéculatif utilisant des stratégies d'investissement complexes et risquées."
"Private Equity","Investissement dans des entreprises non cotées en bourse privée."
"Capital-risque","Financement de startups innovantes à fort potentiel de croissance."
